N,P,K,temperature,humidity,ph,rainfall,label
94.97,34.92,44.79,21.94,75.82,6.77,254.92,rice
88.62,39.9,45.8,22.48,79.8,7.16,212.95,rice
96.48,40.29,48.42,25.09,82.22,5.84,257.74,rice
105.23,37.99,48.27,24.82,82.39,6.63,269.89,rice
87.66,41.19,36.11,23.56,80.4,6.14,246.34,rice
87.66,44.02,38.31,23.83,84.69,6.21,282.92,rice
105.79,51.43,45.58,26.16,77.93,6.16,216.66,rice
97.67,42.87,45.57,22.42,81.63,6.05,204.88,rice
85.31,43.29,45.58,24.69,82.68,6.42,191.53,rice
95.43,41.63,62.26,23.2,84.26,6.07,273.4,rice
85.37,32.41,45.85,23.16,85.05,6.51,252.36,rice
85.34,41.87,48.68,25.8,77.7,6.38,234.61,rice
92.42,42.3,47.77,25.25,76.06,6.3,243.0,rice
70.87,54.32,46.26,25.23,87.31,6.04,207.86,rice
72.75,41.04,41.42,26.21,83.53,6.17,297.14,rice
84.38,43.51,46.79,23.64,79.21,6.7,239.23,rice
79.87,41.83,39.14,24.96,88.4,6.6,238.73,rice
93.14,36.16,41.82,22.98,82.66,6.01,254.14,rice
80.92,47.71,40.57,24.25,86.92,6.44,248.03,rice
75.88,45.76,43.41,23.34,82.47,6.7,241.6,rice
104.66,45.96,54.57,23.79,90.44,5.73,216.24,rice
87.74,37.45,33.66,24.79,89.22,6.62,247.79,rice
90.68,49.01,46.43,21.96,81.2,6.13,283.05,rice
75.75,34.99,34.94,27.78,86.09,6.63,269.64,rice
84.56,44.93,40.64,21.59,84.78,6.09,275.83,rice
91.11,52.95,48.44,21.17,87.67,5.68,223.22,rice
78.49,37.05,43.32,25.92,78.34,5.75,211.26,rice
93.76,39.17,37.61,25.18,84.94,6.42,232.86,rice
83.99,42.5,39.42,24.85,86.43,6.5,237.39,rice
87.08,39.48,46.4,24.86,75.17,6.04,263.35,rice
83.98,34.25,39.35,23.58,77.47,6.66,193.69,rice
108.52,42.34,44.08,21.81,74.04,5.74,274.24,rice
89.87,36.69,43.23,23.75,81.12,6.37,232.05,rice
79.42,44.37,39.74,22.25,85.07,5.92,225.33,rice
98.23,37.4,53.72,25.55,88.21,6.14,210.7,rice
77.79,49.75,46.17,23.31,82.5,6.42,194.63,rice
92.09,38.08,32.87,21.95,88.71,6.06,256.58,rice
70.4,40.39,43.93,22.96,76.68,6.25,237.83,rice
76.72,46.07,39.69,24.43,75.39,6.8,203.75,rice
91.97,35.85,47.26,22.47,81.98,6.17,203.62,rice
97.38,43.14,39.04,21.96,83.74,6.73,227.61,rice
91.71,48.54,42.43,24.09,82.07,5.95,277.73,rice
88.84,33.96,45.52,24.09,73.93,6.61,229.51,rice
86.99,42.92,47.33,22.59,81.84,6.98,198.42,rice
75.21,43.3,37.0,22.66,76.98,5.41,229.86,rice
82.8,45.91,41.33,24.06,84.88,6.08,229.18,rice
85.39,35.82,40.63,20.7,83.67,6.63,168.58,rice
100.57,35.4,39.73,20.79,78.44,6.32,234.64,rice
93.44,44.61,51.83,22.16,80.14,6.55,230.23,rice
72.37,43.48,45.02,23.17,77.96,6.16,253.41,rice
93.24,43.25,36.7,24.22,81.95,6.43,282.22,rice
86.15,43.73,47.59,26.55,86.02,6.34,264.16,rice
83.23,38.6,53.61,25.32,78.26,6.87,229.28,rice
96.12,43.16,48.16,23.28,84.22,6.5,208.34,rice
100.31,43.47,35.4,23.56,80.08,6.54,300.0,rice
99.31,38.43,40.58,21.59,79.03,6.24,237.48,rice
81.61,51.33,49.33,23.56,81.77,6.2,236.35,rice
86.91,44.37,39.46,23.02,78.06,6.23,235.4,rice
93.31,36.04,45.22,24.25,79.99,6.56,240.95,rice
99.76,45.28,46.87,21.95,77.41,6.23,232.39,rice
85.21,37.13,38.37,24.64,90.06,6.52,221.66,rice
88.14,45.94,42.7,26.67,82.34,7.23,222.33,rice
78.94,47.79,26.79,23.38,79.4,6.75,235.18,rice
78.04,37.9,37.88,24.4,83.06,6.27,222.41,rice
98.13,46.82,41.74,24.98,81.75,6.88,218.18,rice
103.56,44.06,36.76,22.8,81.32,6.24,238.66,rice
89.28,46.11,51.16,24.05,84.66,5.58,229.63,rice
100.04,51.48,35.85,23.63,85.23,6.0,273.6,rice
93.62,40.77,40.8,23.8,80.08,5.65,169.73,rice
83.55,38.23,43.65,22.05,79.9,6.26,263.29,rice
93.61,37.55,50.21,23.65,81.1,6.41,267.15,rice
105.38,37.92,35.82,24.6,72.99,7.07,184.17,rice
89.64,41.61,48.82,26.5,76.14,6.53,227.43,rice
105.65,43.71,43.05,25.52,87.67,6.31,226.71,rice
63.8,43.38,38.09,27.91,88.78,6.73,200.81,rice
98.22,46.14,45.31,22.07,81.2,5.52,216.55,rice
90.87,42.07,44.0,25.34,84.51,6.49,208.24,rice
87.01,49.27,40.0,23.97,83.45,6.71,279.81,rice
90.92,40.68,43.35,27.98,94.52,5.81,259.39,rice
70.12,55.6,41.07,21.98,86.68,6.86,267.79,rice
87.8,45.13,43.57,21.92,81.69,6.54,254.04,rice
93.57,37.71,46.31,22.4,78.38,6.23,207.77,rice
104.78,36.65,50.93,19.35,75.77,6.65,222.89,rice
84.82,44.41,36.81,22.55,83.01,7.31,248.23,rice
81.92,40.88,53.67,22.08,79.17,6.47,205.45,rice
84.98,45.57,33.24,23.9,76.51,6.5,253.82,rice
99.15,44.37,42.24,24.28,79.61,6.22,229.99,rice
93.29,41.64,45.94,27.35,77.87,6.06,226.63,rice
84.7,37.77,44.4,25.5,88.95,6.73,253.77,rice
95.13,34.43,39.89,22.45,85.73,6.06,247.11,rice
90.97,39.77,41.96,21.8,82.17,6.43,226.98,rice
99.69,46.28,40.53,24.58,88.12,6.21,264.98,rice
82.98,43.07,40.05,20.96,82.51,6.59,208.97,rice
86.72,35.77,47.25,27.26,78.75,6.53,251.4,rice
86.08,42.87,44.79,25.96,88.29,6.82,250.83,rice
75.36,43.93,39.54,22.66,84.36,6.2,228.26,rice
92.96,37.58,47.5,20.17,78.05,6.29,244.15,rice
92.61,42.77,44.54,26.31,81.44,6.01,204.72,rice
90.05,42.29,47.06,23.37,78.7,6.22,259.1,rice
87.65,36.29,46.15,26.08,76.67,6.55,231.38,rice
72.82,52.69,21.11,25.1,69.99,6.25,77.32,maize
85.39,45.42,18.82,24.15,50.52,6.03,93.92,maize
71.37,48.48,20.09,22.42,75.44,6.25,82.25,maize
65.73,45.69,23.84,21.01,64.3,6.42,76.44,maize
64.55,45.83,20.57,23.7,70.54,6.22,89.37,maize
81.85,46.45,20.14,23.09,59.8,6.22,75.02,maize
66.76,49.11,15.92,24.09,68.06,5.92,84.28,maize
91.04,45.61,22.24,23.57,59.73,5.93,83.91,maize
60.34,54.28,21.94,24.4,61.88,5.64,94.86,maize
90.57,43.53,26.49,21.23,74.57,6.9,88.75,maize
78.69,47.07,19.08,24.93,64.05,5.7,83.75,maize
76.23,45.8,20.66,22.7,66.09,5.92,92.18,maize
72.64,55.23,20.75,26.45,69.35,5.91,97.9,maize
80.19,48.98,24.73,20.92,67.48,6.56,89.58,maize
76.7,53.16,19.71,25.77,65.75,6.08,84.1,maize
85.83,40.57,20.84,22.7,66.82,6.7,70.88,maize
77.91,49.34,21.82,21.0,77.02,5.93,73.35,maize
78.2,52.45,20.56,21.33,64.71,6.31,80.95,maize
74.09,48.41,18.66,21.66,66.01,5.87,77.9,maize
76.54,53.33,20.58,23.15,70.25,7.06,82.13,maize
79.46,45.41,23.22,23.35,70.53,5.72,84.57,maize
63.32,55.05,16.92,21.15,70.94,6.32,89.3,maize
66.21,59.49,20.4,22.25,68.19,6.45,83.3,maize
82.95,46.19,17.9,26.58,59.28,6.37,88.87,maize
78.37,45.77,23.59,25.76,73.17,6.13,84.64,maize
75.53,55.27,15.43,23.17,59.27,6.15,64.25,maize
77.15,55.9,18.32,22.38,66.51,6.22,74.61,maize
79.78,45.39,21.13,22.54,61.23,6.14,82.56,maize
72.68,45.9,24.7,23.53,64.68,6.59,71.9,maize
70.77,46.59,19.8,20.25,66.64,7.08,90.0,maize
78.57,41.28,18.33,21.79,66.61,5.98,99.31,maize
69.17,43.41,25.64,18.96,67.11,5.65,96.19,maize
